"GOTerm.identifier","GOTerm.name","GOTerm.namespace","GOTerm.description"
"GO:0000012","single strand break repair","biological_process","The repair of single strand breaks in DNA. Repair of such breaks is mediated by the same enzyme systems as are used in base excision repair."
"GO:0000015","phosphopyruvate hydratase complex","cellular_component","A multimeric enzyme complex, usually a dimer or an octamer, that catalyzes the conversion of 2-phospho-D-glycerate to phosphoenolpyruvate and water."
"GO:0000027","ribosomal large subunit assembly","biological_process","The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."
"GO:0000030","mannosyltransferase activity","molecular_function","Catalysis of the transfer of a mannosyl group to an acceptor molecule, typically another carbohydrate or a lipid."
"GO:0000045","autophagosome assembly","biological_process","The formation of a double membrane-bounded structure, the autophagosome, that occurs when a specialized membrane sac, called the isolation membrane, starts to enclose a portion of the cytoplasm."
"GO:0000049","tRNA binding","molecular_function","Interacting selectively and non-covalently with transfer RNA."
"GO:0000055","ribosomal large subunit export from nucleus","biological_process","The directed movement of a ribosomal large subunit from the nucleus into the cytoplasm."
"GO:0000056","ribosomal small subunit export from nucleus","biological_process","The directed movement of a ribosomal small subunit from the nucleus into the cytoplasm."
"GO:0000062","fatty-acyl-CoA binding","molecular_function","Interacting selectively and non-covalently with acyl-CoA, any derivative of coenzyme A in which the sulfhydryl group is in thiolester linkage with a fatty acyl group."
"GO:0000070","mitotic sister chromatid segregation","biological_process","The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets."
"GO:0000076","DNA replication checkpoint","biological_process","A cell cycle checkpoint that prevents the initiation of nuclear division until DNA replication is complete, thereby ensuring that progeny inherit a full complement of the genome."
"GO:0000077","DNA damage checkpoint","biological_process","A cell cycle checkpoint that regulates progression through the cell cycle in response to DNA damage. A DNA damage checkpoint may blocks cell cycle progression (in G1, G2 or metaphase) or slow the rate at which S phase proceeds."
