sc16a_gene,gene_name,GOs,pfams,signalP,TMHMM,sc16a_ccl_up_down,sc16a_ccd_up_down,ccl_ccd_up_down
Ophio5|1,XA68_10000,GO:0004096|catalase activity;GO:0055114|oxidation-reduction process;GO:0020037|heme binding,PF00199.14|Catalase,,NA,Down,Down,Down
Ophio5|10,XA68_10001,,,,NA,Down,Down,Down
Ophio5|100,XA68_10065,,PF00929.19|RNase_T,,NA,Down,Down,Up
Ophio5|1000,XA68_10965,GO:0006281|DNA repair;GO:0003913|DNA photolyase activity,PF03441.9|FAD_binding_7;PF00875.13|DNA_photolyase,,NA,Up,Up,Up
Ophio5|1001,XA68_10966,GO:0006412|translation;GO:0005840|ribosome;GO:0003735|structural constituent of ribosome;GO:0005622|intracellular,PF01249.13|Ribosomal_S21e,,NA,Up,Up,Up
Ophio5|1002,XA68_10967,GO:0005634|nucleus;GO:0006281|DNA repair;GO:0006260|DNA replication;GO:0033557|Slx1-Slx4 complex;GO:0017108|5'-flap endonuclease activity,PF09494.5|Slx4,,NA,Up,Up,Down
Ophio5|1003,XA68_10968,,,SignalP: has predicted secretion signal,NA,Up,Up,Down
Ophio5|1004,XA68_10969,,,,NA,Down,Down,Up
Ophio5|1005,XA68_10970,,PF10310.4|DUF2413,,NA,Down,Down,Up
Ophio5|1006,XA68_10971,,,,NA,Down,Up,Up
Ophio5|1007,XA68_11002,"GO:0000398|mRNA splicing, via spliceosome;GO:0030623|U5 snRNA binding;GO:0017070|U6 snRNA binding;GO:0003723|RNA binding",PF08083.6|PROCN;PF12134.3|PRP8_domainIV;PF10596.4|U6-snRNA_bdg;PF08082.6|PRO8NT;PF10597.4|U5_2-snRNA_bdg;PF10598.4|RRM_4;PF08084.6|PROCT,,NA,Up,Down,Down
Ophio5|1008,XA68_11003,,,,1,Down,Down,Up
Ophio5|1009,XA68_11004,,PF06487.7|SAP18,,NA,Up,Up,Up
Ophio5|101,XA68_10066,GO:0006508|proteolysis;GO:0004197|cysteine-type endopeptidase activity,PF00656.17|Peptidase_C14,,NA,Down,Down,Down
Ophio5|1010,XA68_11005,GO:0008380|RNA splicing;GO:0005681|spliceosomal complex,PF02840.10|Prp18;PF08799.6|PRP4,,NA,Up,Up,Up
Ophio5|1011,XA68_11006,GO:0005515|protein binding,PF10602.4|RPN7;PF01399.22|PCI,,NA,Down,Down,Up
Ophio5|1012,XA68_11007,"GO:0000981|sequence-specific DNA binding RNA polymerase II transcription factor activity;GO:0006355|regulation of transcription, DNA-templated;GO:0003677|DNA binding;GO:0005634|nucleus;GO:0008270|zinc ion binding;GO:0006351|transcription, DNA-templated",PF04082.13|Fungal_trans;PF00172.13|Zn_clus,,NA,Down,Down,Down
Ophio5|1013,XA68_11008,,,SignalP: has predicted secretion signal,NA,Down,Down,Up
Ophio5|1014,XA68_11009,,,,NA,Up,Up,Down
Ophio5|1015,XA68_11010,,,,NA,Up,Up,Up
Ophio5|1016,XA68_11011,GO:0004177|aminopeptidase activity;GO:0030145|manganese ion binding,PF00557.19|Peptidase_M24;PF05195.11|AMP_N,,NA,Down,Down,Down
Ophio5|1017,XA68_11012,GO:0016020|membrane,PF03388.8|Lectin_leg-like,SignalP: has predicted secretion signal,1,Down,Down,Up
Ophio5|1018,XA68_11013,"GO:0005789|endoplasmic reticulum membrane;GO:0016758|transferase activity, transferring hexosyl groups",PF03155.10|Alg6_Alg8,,7,Down,Down,Up
Ophio5|1019,XA68_11014,,,,4,Up,Up,Down
Ophio5|102,XA68_10067,,PF07989.6|Microtub_assoc;PF10495.4|PACT_coil_coil,,NA,Up,Up,Up
Ophio5|1020,XA68_11015,GO:0017119|Golgi transport complex;GO:0006891|intra-Golgi vesicle-mediated transport,PF06419.6|COG6;PF06419.6|COG6,,NA,Down,Down,Down
Ophio5|1021,XA68_11016,GO:0070403|NAD+ binding,PF02146.12|SIR2,,NA,Up,Up,Up
Ophio5|1022,XA68_11017,,PF10294.4|Methyltransf_16;PF13489.1|Methyltransf_23,,NA,Down,Up,Up
Ophio5|1023,XA68_11018,GO:0004017|adenylate kinase activity,PF00406.17|ADK;PF05191.9|ADK_lid,,NA,Up,Up,Up
Ophio5|1024,XA68_11019,,PF08569.6|Mo25;PF08569.6|Mo25;PF08569.6|Mo25,,NA,Up,Down,Down
Ophio5|1025,XA68_11020,,,,NA,Down,Down,Up
Ophio5|1026,XA68_11021,GO:0003677|DNA binding;GO:0006260|DNA replication;GO:0003887|DNA-directed DNA polymerase activity,PF04042.11|DNA_pol_E_B,,NA,Up,Up,Down
