gene_name,old_annotation,GOs,pfams,signalP,TMHMM
LOC105247750,chromatin-remodeling complex ATPase chain Iswi,GO:0003677|DNA binding; GO:0005524|ATP binding; GO:0016589|NURF complex; GO:0016887|ATPase activity; GO:0031491|nucleosome binding; GO:0043044|ATP-dependent chromatin remodeling,PF00271|Helicase conserved C-terminal domain; PF00176|SNF2 family N-terminal domain; PF09111|SLIDE; PF13892|DNA-binding domain; PF09110|HAND,0,0
LOC105247751,fatty acid synthase-like,"GO:0009058|biosynthetic process; GO:0016788|hydrolase activity, acting on ester bonds",PF00698|Acyl transferase domain; PF13602|Zinc-binding dehydrogenase; PF00550|Phosphopantetheine attachment site; PF08659|KR domain; PF14765|Polyketide synthase dehydratase; PF00975|Thioesterase domain,0,0
LOC105247753,lysosomal aspartic protease-like,GO:0004190|aspartic-type endopeptidase activity; GO:0006508|proteolysis,PF00026|Eukaryotic aspartyl protease,1,0
LOC105247754,lysosomal aspartic protease-like,GO:0004190|aspartic-type endopeptidase activity; GO:0006508|proteolysis,PF00026|Eukaryotic aspartyl protease,1,0
LOC105247755,lysosomal aspartic protease-like isoform X1,GO:0004190|aspartic-type endopeptidase activity; GO:0006508|proteolysis,PF00026|Eukaryotic aspartyl protease,1,0
LOC105247756,ejaculatory bulb-specific protein 3,NA,"PF03392|Insect pheromone-binding family, A10/OS-D",2,0
LOC105247758,fatty acid synthase-like,"GO:0009058|biosynthetic process; GO:0016788|hydrolase activity, acting on ester bonds; GO:0055114|oxidation-reduction process","PF02801|Beta-ketoacyl synthase, C-terminal domain; PF16197|Ketoacyl-synthetase C-terminal extension; PF14765|Polyketide synthase dehydratase; PF00109|Beta-ketoacyl synthase, N-terminal domain; PF00698|Acyl transferase domain; PF08659|KR domain; PF00107|Zinc-binding dehydrogenase; PF00550|Phosphopantetheine attachment site; PF00975|Thioesterase domain",0,0
LOC105247759,transmembrane protein 181,GO:0015643|toxic substance binding,PF06664|Wnt-binding factor required for Wnt secretion,0,9
LOC105247760,maternal protein pumilio isoform X4,GO:0003723|RNA binding,PF00806|Pumilio-family RNA binding repeat; PF00806|Pumilio-family RNA binding repeat; PF00806|Pumilio-family RNA binding repeat; PF00806|Pumilio-family RNA binding repeat; PF00806|Pumilio-family RNA binding repeat; PF00806|Pumilio-family RNA binding repeat; PF00806|Pumilio-family RNA binding repeat; PF00806|Pumilio-family RNA binding repeat,0,0
LOC105247762,protein phosphatase 1B isoform X2,GO:0000287|magnesium ion binding; GO:0004722|protein serine/threonine phosphatase activity; GO:0006470|protein dephosphorylation; GO:0030145|manganese ion binding,"PF00481|Protein phosphatase 2C; PF07830|Protein serine/threonine phosphatase 2C, C-terminal domain",0,0
LOC105247764,proto-oncogene tyrosine-protein kinase ROS-like,GO:0004672|protein kinase activity; GO:0005515|protein binding; GO:0006468|protein phosphorylation,PF07714|Protein tyrosine kinase; PF00041|Fibronectin type III domain,1,1
LOC105247765,LOW QUALITY PROTEIN: proto-oncogene tyrosine-protein kinase ROS,GO:0004672|protein kinase activity; GO:0005515|protein binding; GO:0006468|protein phosphorylation,PF00041|Fibronectin type III domain; PF07714|Protein tyrosine kinase,1,1
LOC105247767,lysosomal aspartic protease,GO:0004190|aspartic-type endopeptidase activity; GO:0006508|proteolysis,PF00026|Eukaryotic aspartyl protease,1,0
LOC105247768,origin recognition complex subunit 2,GO:0000808|origin recognition complex; GO:0005634|nucleus; GO:0006260|DNA replication,PF04084|Origin recognition complex subunit 2,0,0
LOC105247769,SCAN domain-containing protein 3,NA,NA,0,0
LOC105247774,NA,NA,NA,NA,NA
LOC105247775,uncharacterized protein LOC105247775,NA,PF02958|Ecdysteroid kinase,0,0
