arb2_gene,gene_name,blast_annot,GOs,pfams,signalP,SSP,TMHMM,sc16a_homolog
Ophcf2|00001,GQ602_000001,AMP-dependent synthetase/ligase,GO:0003824|catalytic activity; GO:0003674|molecular_function;,PF00501|AMP-binding;,NA,NA,NA,Ophio5|2574
Ophcf2|00002,GQ602_000002,regulatory protein Ral2,NA,PF13415|Kelch_3; PF13418|Kelch_4;,NA,NA,NA,Ophio5|4438
Ophcf2|00003,GQ602_000003,Mitochondrial peroxiredoxin PRX1,"GO:0003824|catalytic activity; GO:0051920|peroxiredoxin activity; GO:0055114|oxidation-reduction process; GO:0003674|molecular_function; GO:0016491|oxidoreductase activity; GO:0008150|biological_process; GO:0016684|oxidoreductase activity, acting on peroxide as acceptor; GO:0016209|antioxidant activity; GO:0008152|metabolic process;",PF00578|AhpC-TSA; PF08534|Redoxin; PF10417|1-cysPrx_C;,NA,NA,NA,Ophio5|4439
Ophcf2|00004,GQ602_000004,Lipase 4,"GO:0016298|lipase activity; GO:0003824|catalytic activity; GO:0016787|hydrolase activity; GO:0052689|carboxylic ester hydrolase activity; GO:0003674|molecular_function; GO:0004806|triglyceride lipase activity; GO:0016788|hydrolase activity, acting on ester bonds; GO:0008150|biological_process; GO:0071704|organic substance metabolic process; GO:0006629|lipid metabolic process; GO:0044238|primary metabolic process; GO:0008152|metabolic process;",PF01734|Patatin; PF11815|DUF3336;,NA,NA,NA,Ophio5|4440
Ophcf2|00005,GQ602_000005,NmrA-domain-containing protein,"GO:0006694|steroid biosynthetic process; GO:0016614|oxidoreductase activity, acting on CH-OH group of donors; GO:0003674|molecular_function; GO:0071704|organic substance metabolic process; GO:0006629|lipid metabolic process; GO:0003854|3-beta-hydroxy-delta5-steroid dehydrogenase activity; GO:0016229|steroid dehydrogenase activity; GO:0055114|oxidation-reduction process; GO:0003824|catalytic activity; GO:0008610|lipid biosynthetic process; GO:0016491|oxidoreductase activity; GO:0044238|primary metabolic process; GO:0033764|steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0008202|steroid metabolic process; GO:0009058|biosynthetic process; GO:1901362|organic cyclic compound biosynthetic process; GO:0008150|biological_process; GO:1901360|organic cyclic compound metabolic process; GO:1901576|organic substance biosynthetic process; GO:0008152|metabolic process; GO:0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;",PF05368|NmrA; PF13460|NAD_binding_10; PF01073|3Beta_HSD;,NA,NA,NA,Ophio5|4441
Ophcf2|00006,GQ602_000006,aminopeptidase 2,"GO:0003824|catalytic activity; GO:0140096|catalytic activity, acting on a protein; GO:0016787|hydrolase activity; GO:0005488|binding; GO:0008270|zinc ion binding; GO:0046872|metal ion binding; GO:0003674|molecular_function; GO:0008233|peptidase activity; GO:0043167|ion binding; GO:0043169|cation binding; GO:0046914|transition metal ion binding; GO:0070011|peptidase activity, acting on L-amino acid peptides; GO:0008237|metallopeptidase activity;",PF17900|Peptidase_M1_N; PF01433|Peptidase_M1; PF11838|ERAP1_C;,NA,NA,NA,Ophio5|4442
Ophcf2|00007,GQ602_000007,NACHT and WD40 domain protein,NA,NA,NA,NA,NA,Ophio5|4443
Ophcf2|00008,GQ602_000008,fasciclin domain-containing protein,NA,PF02469|Fasciclin;,Has signal peptide;,NA,NA,Ophio5|4444
Ophcf2|00009,GQ602_000009,C6 transcription factor,NA,PF11951|Fungal_trans_2;,NA,NA,1;,Ophio5|6920
Ophcf2|00010,GQ602_000010,Pantothenate transporter liz1,GO:0051234|establishment of localization; GO:0005575|cellular_component; GO:0044425|membrane part; GO:0016021|integral component of membrane; GO:0006810|transport; GO:0008150|biological_process; GO:0031224|intrinsic component of membrane; GO:0051179|localization; GO:0055085|transmembrane transport;,PF06779|MFS_4; PF07690|MFS_1;,NA,NA,9;,Ophio5|6921
